"x"
"LumA"
"LumB"
"LumA"
"LumB"
"Her2"
"LumA"
"Basal"
"Basal"
"LumB"
"LumA"
"LumB"
"Basal"
"Normal"
"Normal"
"LumB"
"LumA"
"Basal"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumB"
"Basal"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"Basal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"Her2"
"LumB"
"LumB"
"LumA"
"LumA"
"LumB"
"LumA"
"Her2"
"Normal"
"LumA"
"LumB"
"LumB"
"Basal"
"LumA"
"LumA"
"LumB"
"LumB"
"Basal"
"LumA"
"LumA"
"LumB"
"LumB"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Her2"
"LumB"
"Normal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"Basal"
"LumA"
"LumA"
"Her2"
"LumB"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"Normal"
"LumA"
"LumA"
"LumB"
"Her2"
"LumA"
"Normal"
"Basal"
"LumB"
"LumA"
"LumB"
"Her2"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"LumA"
"Her2"
"LumB"
"LumA"
"LumB"
"Her2"
"LumB"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"Normal"
"LumB"
"LumB"
"Normal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Basal"
"Basal"
"LumA"
"LumA"
"LumB"
"Basal"
"Normal"
"Basal"
"LumA"
"Her2"
"Her2"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"Basal"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumB"
"Normal"
"Her2"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"Her2"
"LumA"
"Basal"
"LumA"
"Basal"
"LumA"
"Normal"
"Her2"
"Her2"
"LumA"
"LumB"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumB"
"Basal"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumB"
"Normal"
"LumB"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"LumB"
"Normal"
"LumB"
"Basal"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Normal"
"LumB"
"LumB"
"Basal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"LumB"
"LumB"
"Basal"
"LumA"
"Basal"
"LumB"
"LumB"
"Normal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"Her2"
"LumA"
"Basal"
"Basal"
"LumB"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumB"
"LumA"
"LumB"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumB"
"Basal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"Her2"
"Basal"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumB"
"Basal"
"LumB"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"LumA"
"Normal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"Normal"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Her2"
"LumB"
"LumB"
"LumA"
"LumA"
"Her2"
"Normal"
"Basal"
"LumA"
"Normal"
"Basal"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"Her2"
"LumA"
"LumA"
"Basal"
"Basal"
"Basal"
"Basal"
"Basal"
"Basal"
"LumA"
"Her2"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"Her2"
"LumA"
"LumB"
"LumA"
"LumB"
"LumA"
"LumA"
"Her2"
"Basal"
"Her2"
"Basal"
"Basal"
"Her2"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"Her2"
"LumA"
"LumB"
"Basal"
"LumB"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"Basal"
"LumA"
"LumB"
"LumA"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"Basal"
"Basal"
"LumA"
"Basal"
"LumB"
"LumA"
"Basal"
"Her2"
"Normal"
"Basal"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"LumB"
"Basal"
"Basal"
"Her2"
"LumB"
"LumA"
"LumA"
"LumB"
"LumB"
"LumA"
"LumA"
"LumB"
"Basal"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"Basal"
"Normal"
"LumA"
"Normal"
"LumA"
"Her2"
"Her2"
"Basal"
"LumA"
"Basal"
"LumB"
"LumA"
"Basal"
"LumB"
"LumA"
"LumA"
"LumB"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"Basal"
"Basal"
"Basal"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"Basal"
"Her2"
"LumA"
"LumB"
"Basal"
"LumB"
"Basal"
"LumB"
"LumB"
"Basal"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"Basal"
"LumA"
"Basal"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"Basal"
"LumA"
"Her2"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Normal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"Basal"
"LumB"
"LumA"
"Her2"
"LumB"
"Basal"
"Basal"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"Basal"
"Normal"
"LumB"
"Basal"
"LumB"
"LumB"
"Basal"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"Basal"
"LumA"
"Basal"
"LumB"
"Basal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Her2"
"LumA"
"Her2"
"LumB"
"Basal"
"LumB"
"LumA"
"LumA"
"Basal"
"LumA"
"Normal"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"Basal"
"LumA"
"Normal"
"LumB"
"LumA"
"LumA"
"Her2"
"LumB"
"LumB"
"Basal"
"LumA"
"Normal"
"LumB"
"LumB"
"Basal"
"LumA"
"Her2"
"Basal"
"LumB"
"LumA"
"Normal"
"LumA"
"LumB"
"Basal"
"LumA"
"Basal"
"LumA"
"Basal"
"Basal"
"Basal"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumB"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Her2"
"Basal"
"Basal"
"LumA"
"Her2"
"LumA"
"Basal"
"Basal"
"Basal"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"Normal"
"LumB"
"LumB"
"Basal"
"LumA"
"LumA"
"Her2"
"LumA"
"LumB"
"LumB"
"Basal"
"LumA"
"Normal"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumB"
"LumB"
"LumA"
"Basal"
"Basal"
"Basal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"LumA"
"Basal"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"LumB"
"Her2"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"LumB"
"LumA"
"LumB"
"Her2"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"Basal"
"Her2"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"Basal"
"LumA"
"Basal"
"LumB"
"LumA"
"Basal"
"LumA"
"Her2"
"LumB"
"Basal"
"LumA"
"Her2"
"Basal"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"Her2"
"LumA"
"LumA"
"LumB"
"Basal"
"Basal"
"LumA"
"LumA"
"LumB"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"Basal"
"Her2"
"LumA"
"LumB"
"LumB"
"LumB"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"Normal"
"LumB"
"LumA"
"Normal"
"LumA"
"LumA"
"LumA"
"LumB"
"LumB"
"LumB"
"Her2"
"LumA"
"Basal"
"LumA"
"LumA"
"Normal"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"LumB"
"Her2"
"Basal"
"Normal"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumB"
"LumA"
"Her2"
"Basal"
"Basal"
"LumA"
"Basal"
"Basal"
"LumA"
"Basal"
"Her2"
"Normal"
"LumA"
"Normal"
"Basal"
"LumB"
"LumA"
"LumB"
"LumA"
"Her2"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Normal"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"LumB"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumB"
"LumB"
"Normal"
"Basal"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"Her2"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumA"
"LumB"
"LumB"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"LumA"
"LumB"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"LumA"
"LumB"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"LumA"
"Her2"
"LumA"
"LumB"
"LumA"
"LumB"
"LumB"
"LumA"
"LumA"
"Basal"
"LumA"
"Basal"
"Basal"
"LumA"
"LumA"
"LumB"
"LumA"
"LumB"
"Basal"
"Her2"
"LumA"
"LumB"
"LumA"
"Basal"
"LumB"
"LumB"
"LumB"
"Her2"
"LumB"
"LumB"
"LumA"
"LumA"
"Basal"
"LumA"
"LumA"
"Basal"
"LumB"
"LumA"
"LumA"
